time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-01T02:23:56.190Z,-21.6302,168.8836,10,6.6,mww,,54,0.808,1.22,us,us1000azjt,2017-11-01T09:08:57.651Z,"103km E of Tadine, New Caledonia",earthquake,5.7,1.7,0.066,22,reviewed,us,us
2017-10-31T11:50:51.980Z,-3.7013,127.8157,32.38,6.3,mww,,47,4.465,1.1,us,us1000ayz8,2017-11-01T13:05:14.548Z,"32km WSW of Hila, Indonesia",earthquake,6.7,4.4,0.06,27,reviewed,us,us
2017-10-31T00:42:06.880Z,-21.6598,169.2034,11.06,6.8,mww,,55,1.106,1.39,us,us1000aytk,2017-10-31T22:10:12.151Z,"137km E of Tadine, New Caledonia",earthquake,6.9,3,0.071,19,reviewed,us,us
2017-10-26T20:38:51.340Z,34.4213333,-120.6785,4.35,4.33,mw,47,218,0.1958,0.25,ci,ci38031584,2017-10-31T11:22:15.907Z,"32km SW of Lompoc, CA",earthquake,0.51,1.08,,5,reviewed,ci,ci
2017-10-24T10:47:47.540Z,-7.2364,123.0401,549.19,6.7,mww,,19,1.601,1.04,us,us1000aw8q,2017-10-30T22:45:24.867Z,"141km NNE of Palue, Indonesia",earthquake,8.8,5,0.052,36,reviewed,us,us
2017-10-15T10:16:25.870Z,35.834,-90.117,16.61,3.64,mw,69,32,0.04726,0.15,nm,nm60181262,2017-10-27T05:36:32.040Z,"6km SE of Manila, Arkansas",earthquake,0.24,0.19,,280,reviewed,nm,nm
2017-10-10T18:53:27.770Z,-54.2632,8.6363,9,6.7,mww,,20,18.17,1.14,us,us1000apql,2017-10-11T14:01:19.040Z,"Bouvet Island region",earthquake,6.6,1.6,0.083,14,reviewed,us,us
2017-10-10T06:32:20.800Z,-18.5212,-69.6411,82.43,6.3,mww,,27,0.224,1.47,us,us2000b3dm,2017-10-13T05:07:03.617Z,"36km SSW of Putre, Chile",earthquake,5.9,5.2,0.059,28,reviewed,us,us
2017-10-10T00:53:18.270Z,37.3135,-121.672,9.69,4.09,mw,243,23,0.0366,0.16,nc,nc72906781,2017-10-29T00:37:08.040Z,"14km ESE of Alum Rock, California",earthquake,0.1,0.2,,6,reviewed,nc,nc
2017-10-08T22:34:33.960Z,52.4496,176.8078,111.84,6.6,mww,,72,1.673,0.79,us,us2000b2vq,2017-10-13T18:58:36.793Z,"60km E of Buldir Island, Alaska",earthquake,9.1,8.3,0.073,18,reviewed,us,us
2017-10-08T20:48:58.720Z,-61.7431,154.5526,10,6.3,mww,,101,7.628,1,us,us2000b2v1,2017-10-10T14:12:58.040Z,"Balleny Islands region",earthquake,10.6,1.9,0.068,21,reviewed,us,us
2017-10-06T07:59:32.880Z,37.5033,144.0201,9,6.2,mww,,32,2.588,0.88,us,us2000b1v8,2017-10-25T08:32:50.951Z,"259km ESE of Ishinomaki, Japan",earthquake,4.5,1.7,0.053,34,reviewed,us,us
